[14626,20489]
[2428,18077]
[9997,19543]
[24289,22210]
[20598,23760]
[19265,28800]
[25617,2160]
[27185,16442]
[28288,8723]
[11302,7150]
[28422,21989]
[13744,1465]
[1915,27455]
[4014,28680]
[10852,4761]
[7498,19618]
[22772,1437]
[29618,5983]
[10353,8145]
[11186,22010]
[3299,15958]
[15787,10128]
[27463,22872]
[9830,5754]
[3613,27690]
[29860,10842]
[28312,24849]
[865,26940]
[1836,28942]
[25495,17025]
[8368,8905]
[1070,2037]
[938,4873]
[2643,15338]
[19597,13457]
[27111,10954]
[19693,27458]
[17845,1565]
[14163,5825]
[20949,9922]
[5919,11685]
[23626,12199]
[6068,25151]
[20210,17205]
[9604,9354]
[17636,6796]
[23218,2102]
[29543,1602]
[6320,16694]
[21494,23162]
[20881,12527]
[1354,21207]
[8605,20008]
[1122,25343]
[22042,966]
[11217,27466]
[16959,5016]
[10977,11322]
[19566,11830]
[19534,16013]
[2802,5444]
[21699,10605]
[18570,6672]
[18110,20221]
[16940,10318]
[7614,4076]
[623,7386]
[5219,12929]
[15864,24782]
[24077,19578]
[24432,7645]
[4938,23382]
[19620,29606]
[9063,10835]
[28446,762]
[27597,2314]
[22253,11017]
[25464,13319]
[1444,23525]
[7091,235]
[20986,1446]
[5898,4008]
[5819,17548]
[17462,3733]
[10849,17288]
[5589,17329]
[16473,20043]
[27008,23185]
[3358,11855]
[26887,19719]
[18521,553]
[21319,15462]
[26171,1098]
[29465,27587]
[10451,24211]
[20765,24418]
[17208,6403]
[17627,25962]
[17049,22653]
[28125,22126]
[24026,14767]
[12941,7943]
[392,19038]
[20536,25689]
[2881,8183]
[26789,21976]
[9508,19275]
[18927,24209]
[25499,26033]
[54,23857]
[10837,10297]
[24724,19924]
[13477,28856]
[4003,11661]
[2973,6488]
[7508,14354]
[4595,14834]
[18829,3072]
[28218,11994]
[6161,21412]
[23264,9696]
[14447,3554]
[593,4983]
[1585,16765]
[20136,11772]
[13126,18584]
[10602,19226]
[19372,7777]
[24310,5579]
[17722,17881]
[1654,12995]
[23378,21226]
[23903,3299]
[25480,29615]
[1871,23870]
[3210,23207]
[16276,29233]
[21249,28293]
[18417,4686]
[26824,20002]
[16060,28008]
[22525,23647]
[6236,15355]
[10021,6510]
[15226,12788]
[27223,21546]
[18871,7209]
[11210,25001]
[6771,28430]
[23045,12245]
[9038,22397]
[24251,16294]
[16516,17308]
[7322,2462]
[16090,27650]
[6456,24081]
[28700,11637]
[12210,10194]
[24156,5341]
[9774,3898]
[24009,10515]
[28770,22989]
[12726,6104]
[25207,28700]
[16255,5943]
[8631,9267]
[15900,21765]
[377,1631]
[16294,14506]
[8349,9982]
[25937,1269]
[5157,16069]
[13793,21926]
[18781,5868]
[24390,20782]
[18470,27266]
[13564,5283]
[26102,5457]
[22464,3245]
[12023,29059]
[29512,14819]
[529,20404]
[6844,17759]
[2229,12237]
[7595,1202]
[24446,21167]
[7445,23359]
[19483,16210]
[9970,571]
[21660,26519]
[15576,15414]
[18857,28043]
[14269,29054]
[14527,24764]
[4694,14843]
[19924,27637]
[12762,18566]
[27163,15970]
[11979,22538]
[3664,15123]
[24353,22361]
[19427,25788]
[10931,11808]
[27124,26913]
[10489,21796]
[1687,25401]
[7529,16603]
[6873,15793]
[19172,22305]
[561,19218]
[6415,7072]
[15527,21951]
[2908,4351]
[3419,29248]
[2813,16751]
[29079,26431]
[7344,28110]
[22521,3805]
[18719,19469]
[5359,9516]
[11584,21231]
[1305,21882]
[28939,5099]
[26097,13957]
[20008,14568]
[25144,10868]
[16890,2973]
[14816,1674]
[212,3223]
[25752,1030]
[24749,13527]
[18209,3725]
[23356,3657]
[5922,22610]
[5007,2855]
[378,19384]
[17120,15686]
[15131,27406]
[3278,6453]
[11406,7967]
[3803,15007]
[6410,29620]
[3403,29058]
[4030,28575]
[24151,12217]
[7542,3714]
[2131,22245]
[11987,15768]
[9273,17871]
[18455,547]
[29895,24428]
[6806,16832]
[1062,20567]
[25831,17962]
[22906,5302]
[1322,20894]
[999,2630]
[18933,6536]
[19880,29166]
[3870,996]
[17554,8371]
[24607,4156]
[27578,24639]
[18192,8758]
[7951,10618]
[15672,4446]
[16823,16040]
[9900,4646]
[7375,9220]
[12746,18403]
[15283,29285]
[2152,24144]
[26417,15960]
[5784,19607]
[19526,10477]
[23566,26010]
[20351,20176]
[8923,19109]
[3454,5819]
[10138,10020]
[2050,9757]
[21773,11439]
[24350,29537]
[981,224]
[1827,28566]
[5694,1685]
[12541,4696]
[26099,13217]
[19565,20044]
[23072,24757]
[16774,13615]
[13423,18374]
[14288,29515]
[9437,19258]
[6028,22734]
[13246,6050]
[18107,2873]
[9016,20888]
[24531,6789]
[876,16242]
[3794,23907]
[26876,29897]
[18957,5163]
[17512,11617]
[27692,27116]
[24229,13522]
[15331,21582]
[3959,9309]
[11601,2227]
[18773,13099]
[27532,12334]
[4786,23423]
[26176,921]
[14769,4421]
[21900,21663]
[27681,2435]
[20361,28788]
[2978,3044]
[2906,7417]
[9602,29401]
[14821,28187]
[5721,21362]
[24429,15789]
[22594,7498]
[18006,21672]
[18254,10814]
[19437,13329]
[3915,18308]
[24720,766]
[15024,20898]
[6017,11491]
[29700,1005]
[3302,3598]
[11261,11170]
[5366,9058]
[25443,8195]
[27188,26585]
[20646,8889]
[28327,7765]
[18452,2759]
[10506,24489]
[13274,26907]
[11738,3231]
[14829,9046]
[5445,14479]
[15480,25862]
[2188,14156]
[11461,4281]
[20755,4678]
[16449,18193]
[17125,3895]
[1475,25380]
[3170,4767]
[19194,116]
[27775,1484]
[12225,3013]
[10764,12437]
[29477,18670]
[18771,8904]
[20641,27820]
[642,2605]
[257,891]
[20859,18646]
[16328,14528]
[14531,4872]
[21247,19230]
[18443,9913]
[702,24676]
[26457,29288]
[20871,19642]
[15509,7116]
[5276,14212]
[9702,26896]
[27499,7570]
[22884,5856]
[18057,23946]
[8138,26722]
[29875,7058]
[29219,7015]
[7302,14533]
[7235,542]
[27954,15186]
[6093,5059]
[29249,29643]
[271,19693]
[13108,24292]
[25556,17963]
[26394,16930]
[8324,21617]
[9258,19407]
[2980,6689]
[18867,20082]
[21217,1906]
[15987,951]
[20239,10469]
[3354,12447]
[26243,2463]
[6305,12143]
[25440,24802]
[20665,5293]
[4819,21867]
[2544,1045]
[12402,4246]
[15699,23287]
[26330,29371]
[6599,17030]
[45,24838]
[9275,24658]
[8021,2931]
[25666,667]
[25581,19630]
[29118,7916]
[1229,21918]
[5485,19053]
[24847,12933]
[24514,12884]
[8240,11730]
[13428,25865]
[5800,28431]
[20355,20446]
[1511,6227]
[29423,7537]
[6401,29235]
[6577,17230]
[29828,13871]
[15801,13773]
[9648,16047]
[13015,10062]
[16691,21855]
[25238,26790]
[15104,349]
[10775,328]
[620,1762]
[18358,2705]
[10548,5471]
[19875,1853]
[7283,8557]
[20189,11244]
[28,3680]
[18170,28724]
[1059,28170]
[11522,5070]
[9319,9555]
[14994,11533]
[22570,14495]
[20703,11297]
[3087,20285]
[10139,22668]
[26489,6517]
[7323,16679]
[22046,21932]
[180,19794]
[17826,13330]
[20866,781]
[3547,9380]
[4856,5415]
[21333,1489]
[2953,11656]
[18467,1967]
[1619,6102]
[7468,15234]
[21711,13442]
[25338,28807]
[10157,11250]
[29019,7152]
[20460,1783]
[14207,5524]
[6233,12998]
[9896,18318]
[12831,8618]
[27792,21883]
[7404,25098]
[8866,1315]
[6179,8117]
[15940,17980]
[5860,6478]
[6224,5042]
[15979,906]
[22794,632]
[29421,6908]
[26839,11339]
[13754,25432]
[1908,4955]
[7747,2138]
[17466,16565]
[17210,29779]
[7180,18974]
[20425,838]
[24019,2188]
[1550,29604]
[22358,10195]
[12373,18412]
[3155,6099]
[8119,4055]
[29813,5431]
[16103,19820]
[27825,2856]
[1484,26711]
[28177,28209]
[18371,9227]
[29333,16478]
[26050,21310]
[14137,20339]
[12810,2769]
[11859,22067]
[12202,16638]
[9305,26070]
[10805,14454]
[15805,29351]
[9378,17369]
[28168,2135]
[11842,3535]
[18674,8015]
[5113,10354]
[25612,1696]
[520,23618]
[17011,2506]
[22833,11468]
[24590,9466]
[336,18004]
[23316,17281]
[6078,29846]
[4400,13770]
[25229,29892]
[28637,1694]
[16965,8244]
[9301,28927]
[11516,3336]
[28032,28468]
[11942,3374]
[3627,9417]
[17522,21543]
[11837,5274]
[4396,12526]
[24884,19826]
[27541,9386]
[14201,23432]
[24453,15241]
[20915,13603]
[21692,16371]
[7615,17186]
[29420,5171]
[20194,23629]
[25973,27307]
[24043,2224]
[21790,29453]
[2414,22778]
[10736,18859]
[19133,29613]
[7297,18673]
[21200,21649]
[18195,991]
[7675,16847]
[26967,12917]
[11688,29167]
[19237,4864]
[8876,4578]
[15091,9598]
[12087,3900]
[12687,12729]
[13705,15210]
[15535,449]
[25789,8946]
[21101,23845]
[26446,29770]
[9786,19213]
[20057,4853]
[23568,9579]
[8956,21539]
[13485,16712]
[29741,19878]
[29961,8475]
[26630,14524]
[10876,9602]
[16440,21879]
[1604,10762]
[9782,36]
[25940,1393]
[22611,24027]
[4471,210]
[25694,16547]
[1390,4768]
[23946,24780]
[13186,24648]
[7301,29172]
[20461,3746]
[93,20266]
[7699,17045]
[15624,6816]
[19049,14253]
[23886,29050]
[28590,2277]
[26932,1177]
[29790,25427]
[7768,29465]
[20111,11513]
[8152,17756]
[23721,5516]
[20088,18285]
[1420,535]
[16924,25302]
[7820,25980]
[22357,10060]
[12494,11817]
[16619,7808]
[21225,10142]
[4722,29081]
[18182,29503]
[7963,26066]
[9661,22776]
[11041,1889]
[6865,19587]
[15807,19930]
[19123,6436]
[9065,14414]
[16303,25694]
[10496,27676]
[1775,9683]
[18528,27768]
[24980,12040]
[1186,29399]
[29834,22061]
[4341,24485]
[4927,26191]
[11311,1752]
[2423,2691]
[24423,3612]
[27948,1258]
[1401,2098]
[17079,10693]
[1548,22944]
[16957,10432]
[14607,29294]
[20741,12980]
[3433,10587]
[16851,5551]
[5754,27539]
[19921,20588]
[27347,25067]
[1152,5706]
[7250,11718]
[15942,27258]
[6082,19387]
[28838,24559]
[3701,20530]
[15497,11062]
[1143,23154]
[17129,19511]
[17196,9495]
[9808,560]
[20591,26452]
[1466,4980]
[5880,19887]
[6784,27298]
[5061,12280]
[15524,2934]
[20921,18951]
[266,9390]
[29621,3476]
[17816,11278]
[1573,4995]
[24772,10995]
[25682,29472]
[13097,10456]
[16893,13383]
[4960,20407]
[16483,3453]
[26479,21614]
[417,9600]
[4570,25268]
[3690,17224]
[24343,2040]
[5127,15821]
[14589,18356]
[2236,9332]
[6569,19411]
[9034,15476]
[29107,23250]
[25403,16937]
[25282,6972]
[2256,25019]
[29478,3674]
[18775,29552]
[12655,10867]
[7684,18572]
[15673,17366]
[17749,23389]
[26598,9249]
[23501,25037]
[22883,16070]
[18436,1369]
[24575,11778]
[16047,13917]
[15151,27662]
[4108,26123]
[27183,12156]
[2071,24627]
[16569,16284]
[22258,12146]
[23347,421]
[19502,15025]
[1626,13721]
[7485,8247]
[15605,28635]
[10041,19021]
[16638,23987]
[4630,28527]
[10572,575]
[2278,264]
[21854,24903]
[4172,7368]
[5626,23837]
[10073,1224]
[19981,2923]
[19814,2114]
[6979,14522]
[3194,16377]
[16514,25364]
[12891,8817]
[22332,23202]
[24526,2797]
[4352,15898]
[20929,22273]
[17949,26577]
[4254,27729]
[6181,21396]
[14879,12820]
[4486,18760]
[28449,18863]
[8648,4621]
[25295,29003]
[10578,28251]
[29170,22582]
[25451,322]
[16568,12842]
[20630,17436]
[19859,29749]
[20137,25520]
[5549,102]
[18251,21204]
[11433,3337]
[10982,457]
[12263,24003]
[2357,15284]
[29664,4352]
[16919,22496]
[24001,15599]
[29603,26264]
[6759,16323]
[12196,17815]
[21589,7624]
[18799,22318]
[24850,26986]
[16492,18636]
[12933,14301]
[29655,15098]
[21119,29852]
[22979,26692]
[216,7432]
[27497,16634]
[4808,18776]
[13636,28056]
[20220,2639]
[1278,15839]
[18129,29184]
[743,712]
[17874,29521]
[4199,6662]
[18530,416]
[19,17552]
[47,27118]
[9219,20516]
[3317,6560]
[15823,935]
[10158,8978]
[18043,8486]
[4013,12152]
[14550,1555]
[18267,14431]
[27244,18821]
[21618,21826]
[13228,18875]
[15373,18145]
[11456,29763]
[11507,12678]
[748,29363]
[22360,16768]
[9457,1051]
[11847,6179]
[19469,24737]
[23224,8753]
[10646,4899]
[8461,12660]
[22752,139]
[1778,19305]
[9703,20893]
[27252,13783]
[12247,2625]
[23237,7801]
[23581,1146]
[13866,4885]
[416,25749]
[5340,22191]
[14594,19211]
[9995,8940]
[5667,22156]
[15773,27642]
[23756,27240]
[29579,11953]
[7194,9791]
[5699,655]
[12609,13912]
[11153,9802]
[4867,9352]
[29520,22403]
[20332,29226]
[10375,5879]
[19589,1583]
[3462,5033]
[15375,25914]
[29937,12721]
[29332,22165]
[13276,871]
[10782,28621]
[23090,14985]
[5243,113]
[27321,14161]
[28697,3524]
[3765,17913]
[28778,16785]
[24802,8413]
[27606,7937]
[21777,19107]
[10990,6375]
[19501,11576]
[28532,12155]
[16801,9180]
[22047,18086]
[6687,18617]
[1583,28501]
[21690,11692]
[5927,18469]
[28732,2978]
[16966,21853]
[17833,555]
[21047,19455]
[24617,8576]
[7419,23774]
[12216,13729]
[19801,8778]
[16753,22540]
[1083,1792]
[26626,4998]
[20142,7893]
[20384,18166]
[7281,18880]
[26539,11089]
[16692,1503]
[19971,23956]
[19752,20670]
[29930,4547]
[26532,15657]
[6637,27838]
[16749,7449]
[317,28086]
[6,25950]
[19761,16467]
[5272,6309]
[9445,14997]
[29068,4846]
[21283,22076]
[15656,14118]
[4799,1388]
[26859,23686]
[13531,29306]
[3036,10450]
[10271,26417]
[4156,16037]
[18788,21880]
[345,14659]
[25045,7380]
[7222,4640]
[26472,23116]
[12793,9403]
[29709,23723]
[6726,16597]
[1641,21975]
[3538,9330]
[404,8017]
[26540,6896]
[6200,26839]
[13410,27994]
[4509,7746]
[20433,1449]
[20958,18116]
[14054,14457]
[2562,191]
[5003,25274]
[5964,16728]
[7793,26151]
[6654,9734]
[12142,5297]
[6728,10261]
[28613,167]
[15737,16976]
[28212,6873]
[16134,17936]
[12539,14075]
[6095,16135]
[4320,22764]
[9124,7906]
[23921,13700]
[12653,11404]
[8345,2850]
[22059,21270]
[8464,24109]
[8738,24507]
[27066,22515]
[14152,12960]
[16708,22339]
[10828,15997]
[20817,5612]
[5286,9796]
[23268,16957]
[25518,10233]
[18046,9769]
[2224,23344]
[4274,11011]
[24322,7838]
[19299,27048]
[15913,26299]
[4439,5534]
[15912,2055]
[15905,20815]
[15557,22786]
[3293,24122]
[21799,7864]
[10105,2355]
[18954,8488]
[20217,7926]
[21129,7964]
[20293,29530]
[14620,27383]
[8981,13190]
[7335,21802]
[24610,17208]
[766,3004]
[28243,13777]
[3369,17209]
[17823,24064]
[931,21894]
[23078,1769]
[8481,9610]
[8510,1953]
[3422,696]
[22623,15349]
[25749,7619]
[26694,29134]
[12958,3851]
[2267,12508]
[9939,26393]
[17616,18822]
[10891,25391]
[11699,24907]
[12457,4142]
[9235,12171]
[2910,24806]
[10949,17578]
[11060,25159]
[1273,26133]
[13969,10696]
[6911,3682]
[24727,22555]
[19890,19606]
[19064,29158]
[15266,27785]
[25824,18362]
[18314,22094]
[6434,16239]
[23929,7599]
[14629,23077]
[18425,11638]
[17651,10912]
[17094,17304]
[25017,9378]
[19009,15422]
[13671,19664]
[19228,22694]
[14601,16596]
[9060,20063]
[6330,9048]
[11157,5342]
[23708,16971]
[2556,925]
[3005,19536]
[20257,27840]
[28696,11530]
[6357,2496]
[27816,8792]
[28894,14653]
[24502,13960]
[3581,25740]
[8365,26992]
[10625,17407]
[19024,14218]
[25750,27486]
[8203,20427]
[19214,16382]
[9289,20789]
[4948,21589]
[27806,21119]
[13643,3838]
[6470,5721]
[26950,23512]
[20505,1408]
[19729,28555]
[14204,15103]
[12395,26628]
[3347,16142]
[15207,19295]
[1359,20508]
[1716,17540]
[8778,5654]
[9395,8260]
[8006,21116]
[14982,20449]
[19175,23097]
[20373,3362]
[28977,14993]
[28373,17154]
[23332,22768]
[11943,4632]
[18624,21132]
[11976,20546]
[17267,24953]
[22165,8865]
[16478,3813]
[10377,15678]
[3839,17723]
[27194,4954]
[14661,5149]
[2181,18795]
[28467,6714]
[17948,17106]
[2869,1297]
[24065,10962]
[18493,29834]
[29496,24775]
[27028,26744]
[226,29138]
[14070,3165]
[29114,8994]
[26722,24047]
[20499,10332]
[28181,8507]
[27140,18831]
[26745,23771]
[2699,29602]
[19621,19520]
[29733,13814]
[7165,29533]
[13331,24855]
[5673,5627]
[22259,1175]
[16126,3035]
[16182,27477]
[5760,5596]
[15327,23798]
[6736,15385]
[13002,6447]
[15471,10739]
[16693,25446]
[7941,22654]
[26784,2394]
[27372,19224]
[19449,21531]
[6453,23563]
[28211,6612]
[9216,17623]
[23199,11128]
[6463,19785]
[28294,6561]
[28917,24977]
[1887,23109]
[21098,22846]
[26223,20275]
[22399,3091]
[17644,22321]
[5582,27719]
[11769,28711]
[8062,10028]
[15583,26712]
[22556,4670]
[21378,23866]
[26316,22457]
[19388,11782]
[17957,22428]
[23030,684]
[29812,8288]
[27187,22937]
[4307,10531]
[9763,6365]
[3608,6062]
[17695,21068]
[9998,26307]
[16260,24256]
[26276,3343]
[15597,3938]
[22565,12483]
[15933,20309]
[10749,29748]
[1860,29937]
[173,3633]
[25560,16492]
[8045,17189]
[11395,19827]
[22351,16928]
[2760,9247]
[24461,25489]
[10551,26923]
[15450,5449]
[4440,20158]
[1208,903]
[10748,18650]
[22859,28702]
[18659,13078]
[8678,11628]
[14004,18672]
[15962,7335]
[1340,107]
[6528,20849]
[22226,19086]
[19488,28560]
[16847,27146]
[11478,1181]
[10783,2161]
[10097,18391]
[25063,17197]
[25611,3219]
[27781,17250]
[6321,19335]
[28358,8014]
[4920,15301]
[8590,21262]
[1496,4725]
[29910,7855]
[2994,7402]
[2037,23273]
[16432,6585]
[8904,5653]
[5275,6161]
[8831,24653]
[25770,13338]
[8640,19748]
[3947,4004]
[9793,12047]
[15790,20941]
[15503,27174]
[13620,26274]
[9594,28753]
[16335,4089]
[10268,10591]
[12391,24337]
[4598,12635]
[21155,21358]
[24109,10685]
[23037,15681]
[15633,5301]
[13863,3537]
[12665,6255]
[11132,21921]
[9840,5576]
[3721,23735]
[2928,19169]
[26135,2465]
[11845,1410]
[14523,24159]
[14249,16983]
[3037,350]
[20279,11964]
[13872,8179]
[17262,24716]
[22502,312]
[25540,13405]
[24953,28122]
[5207,29993]
[28853,28978]
[5574,20359]
[9686,20599]
[12844,3882]
[28314,21559]
[28692,4261]
[29168,28155]
[3394,4492]
[14065,21139]
[3427,12875]
[2080,26594]
[6226,13220]
[5199,17802]
[6796,21473]
[9600,12668]
[1774,5569]
[9552,20870]
[20805,13562]
[23165,23001]
[2646,14367]
[25313,7579]
[27970,288]
[9057,12882]
[220,25480]
[27706,4921]
[6037,13271]
[8363,6466]
[28224,15364]
[2316,26273]
[5114,12795]
[13772,25500]
[4536,21973]
[18539,28184]
[5799,1433]
[577,21866]
[3158,4097]
[21321,25456]
[29607,2862]
[6546,20014]
[1195,13718]
[25293,16572]
[26241,8334]
[4639,21339]
[4316,11047]
[29973,13158]
[16136,21583]
[905,10872]
[28488,3211]
[6792,4064]
[11621,21215]
[15685,14543]
[18460,29128]
[25762,1887]
[9792,19916]
[16153,6109]
[26829,8065]
[26653,26842]
[21450,13565]
[22240,11344]
[28380,29322]
[7044,16655]
[23968,29699]
[3767,29055]
[25317,16628]
[19646,3372]
[1181,2575]
[23143,11148]
[10995,10472]
[25992,6869]
[16145,4370]
[17526,25298]
[13899,5873]
[19503,22910]
[23780,29895]
[16319,24383]
[10087,11054]
[25453,16449]
[5596,4310]
[9861,4229]
[23956,17340]
[25829,2858]
[27876,25038]
[19923,27363]
[15415,10379]
[360,26441]
[8653,20405]
[24022,11215]
[3325,27892]
[26860,9806]
[27874,10149]
[15484,21334]
[27413,15443]
[10502,8777]
[4654,24223]
[3156,27492]
[27666,18714]
[25677,834]
[4691,11619]
[652,12338]
[28456,9364]
[22936,1756]
[26881,10732]
[6845,25814]
[26510,2505]
[21723,9304]
[23728,1144]
[13878,6341]
[1179,6354]
[20967,20061]
[12747,29690]
[16414,5028]
[5298,20641]
[7947,14610]
[29891,9818]
[254,26212]
[1977,22591]
[11051,13500]
[17383,17518]
[2191,18508]
[12096,17047]
[6526,12909]
[12034,19898]
[993,1616]
[17228,19376]
[3289,24040]
[10552,4929]
[25125,11255]
[9930,2804]
[1028,758]
[19034,6729]
[20252,22092]
[19537,7830]
[25437,19440]
[10941,15770]
[4545,19978]
[8312,20774]
[20810,10703]
[19725,17923]
[8681,6866]
[343,17387]
[21709,24217]
[5316,26714]
[7362,5426]
[17029,14341]
[7437,10878]
[18614,15629]
[10430,20395]
[18156,3767]
[22060,1833]
[13072,13873]
[9963,11697]
[27779,29366]
[5288,10777]
[21418,15602]
[9232,19198]
[14206,3530]
[16469,12482]
[1146,17935]
[10583,20307]
[4236,5380]
[3498,9029]
[9122,19278]
[12234,1820]
[20014,29953]
[17429,1434]
[3333,14542]
[5215,1154]
[3687,9470]
[23112,4769]
[20551,12291]
[28969,19822]
[23833,11349]
[5015,15281]
[17134,4764]
[28189,4182]
[17473,13181]
[18224,28580]
[23934,23464]
[25170,5984]
[22283,9877]
[26663,14311]
[156,14451]
[1374,13031]
[19762,17202]
[27614,18063]
[26338,16794]
[6804,17515]
[24072,8131]
[28457,24803]
[26737,8784]
[26795,8297]
[2410,15264]
[27176,11230]
[14452,2315]
[23104,12067]
[28561,26168]
[18837,5756]
[27476,15262]
[13071,12197]
[11245,13501]
[16475,3622]
[6612,20747]
[174,27728]
[11631,19941]
[10874,11763]
[17868,23841]
[12880,4022]
[5105,3879]
[25231,8662]
[21239,20356]
[9694,15818]
[21631,12158]
[7713,8975]
[11182,14059]
[29269,13196]
[12098,13450]
[20247,9296]
[4395,27016]
[17631,4149]
[25180,18431]
[19855,1712]
[20159,7462]
[18694,6946]
[5355,11441]
[19980,16049]
[25644,21319]
[20635,6246]
[16029,7923]
[18332,11990]
[28308,3846]
[3587,25972]
[20007,5966]
[10935,27682]
[7157,20255]
[22821,17345]
[5944,4216]
[9405,19514]
[13516,2265]
[20522,19302]
[12706,26510]
[9491,11136]
[6049,9869]
[20816,27848]
[25527,4391]
[8990,2763]
[11422,16756]
[25839,15118]
[11430,13872]
[26852,7919]
[526,11373]
[2322,29027]
[1978,27384]
[10715,8642]
[28417,16644]
[5940,5810]
[4458,18887]
[6573,12042]
[3558,497]
[24336,13229]
[20904,22302]
[28222,26202]
[28486,28256]
[10739,24436]
[15911,26655]
[15389,15585]
[6697,908]
[18481,28525]
[3962,1111]
[23707,10619]
[10016,800]
[26090,28297]
[6556,2720]
[23233,6182]
[29043,5683]
[15063,20969]
[827,27590]
[14981,3855]
[5865,13570]
[9505,9991]
[26337,15399]
[18992,3424]
[11473,26522]
[21646,29657]
[24285,19052]
[16348,18610]
[6266,4497]
[17721,19481]
[24452,1381]
[19602,20320]
[7193,5495]
[4568,23226]
[15230,11809]
[1326,21875]
[4830,25002]
[15508,19202]
[26145,9916]
[3662,11150]
[6841,9323]
[2607,7223]
[14644,22112]
[3991,9311]
[15588,19964]
[7667,13882]
[4207,2461]
[20820,26494]
[25373,5368]
[1717,21]
[13982,986]
[27729,25541]
[22615,13653]
[9532,24783]
[12484,5358]
[15521,6047]
[12164,24751]
[12917,1282]
[4656,23363]
[10243,2241]
[10330,6295]
[2049,16327]
[17750,21822]
[25252,2453]
[2258,17401]
[14102,11451]
[9361,15632]
[23561,8470]
[18960,10471]
[16283,2016]
[27858,13179]
[14283,3191]
[28629,24817]
[5551,11281]
[15645,7323]
[23418,27459]
[9586,14977]
[20377,19033]
[13204,6581]
[2508,10562]
[8069,26515]
[2794,12687]
[8453,20520]
[1368,7312]
[125,24601]
[4258,9570]
[22455,1441]
[16018,15729]
[8718,8929]
[10756,8536]
[3501,1110]
[8527,3522]
[7981,24215]
[10482,1568]
[1434,11751]
[1909,26188]
[11405,24066]
[23285,10911]
[16254,24542]
[11467,21311]
[17141,19906]
[10848,10391]
[6474,26076]
[28810,19731]
[15744,21771]
[24722,28461]
[742,3394]
[14569,15645]
[6922,11550]
[3658,19828]
[21598,3481]
[2154,5669]
[4179,23438]
[2531,5969]
[22885,28837]
[17504,9601]
[23101,20964]
[14312,4019]
[2713,10405]
[9479,7987]
[10682,2669]
[24510,12492]
[24468,11222]
[15105,11015]
[12753,14455]
[24042,15979]
[20376,27087]
[4045,29242]
[13813,8303]
[3121,3242]
[20776,20863]
[7929,29638]
[18593,3429]
[1648,17316]
[2812,5239]
[11222,18804]
[21336,2609]
[10742,28383]
[12400,13727]
[11359,5361]
[20735,18009]
[16350,22399]
[17465,738]
[17498,27262]
[6842,28665]
[28031,29383]
[2366,29598]
[8925,7928]
[11815,27658]
[8125,8013]
[568,19868]
[10620,1068]
[5324,7730]
[1713,8176]
[14613,13087]
[6455,16517]
[2392,24437]
[14978,16138]
[16952,12756]
[6693,21675]
[17069,9109]
[3318,7008]
[11199,19091]
[2379,1855]
